LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,MoSold,SalePrice,HouseAge,RemodAge,TotalSF,TotalBath,PricePerSqFt
9135,6,5,2003,2003,1682,1700,0,1700,2,0,3,7,0,2,544,192,23,0,2006,5,200000,3,3,3382,2.0,117.6470588235294
11050,9,5,2000,2000,1440,1476,677,2153,2,1,3,8,2,3,736,253,142,0,2009,5,313000,9,9,3593,2.5,145.37854156990247
8400,5,5,1977,1977,0,2020,0,2020,2,0,4,10,2,2,630,0,0,0,2007,10,144000,30,30,2020,2.0,71.2871287128713
16545,8,5,1998,1998,1284,1310,1140,2450,2,1,3,7,1,3,1069,0,126,0,2009,5,340000,11,11,3734,2.5,138.77551020408163
21384,5,6,1923,2004,1324,1072,504,1576,1,1,3,6,1,2,528,0,312,0,2009,5,223500,86,5,2900,1.5,141.81472081218274
14175,5,6,1956,1987,1188,1437,0,1437,1,1,3,6,1,2,576,304,0,0,2006,11,168000,50,19,2625,1.5,116.91022964509395
11040,4,6,1920,1950,637,897,439,1336,1,1,3,7,0,1,570,0,47,0,2006,9,108000,86,56,1973,1.5,80.83832335329342
8640,8,5,2009,2009,1300,1314,0,1314,2,0,3,6,0,2,552,135,112,0,2009,9,229456,0,0,2614,2.0,174.6240487062405
7175,6,5,1984,1984,744,752,0,752,1,0,2,4,0,1,264,353,0,0,2010,2,125000,26,26,1496,1.0,166.22340425531914
9340,4,6,1941,1950,672,672,0,672,1,0,2,4,0,1,234,0,113,0,2009,8,113000,68,59,1344,1.0,168.1547619047619
10261,6,5,2000,2000,936,962,830,1792,2,1,3,8,1,2,451,0,0,0,2008,5,186500,8,8,2728,2.5,104.07366071428571
9587,7,5,2005,2005,856,1166,0,1166,2,0,2,5,0,2,400,212,0,0,2008,7,190000,3,3,2022,2.0,162.95025728987994
9300,5,5,1960,1960,1268,1264,0,1264,1,0,3,6,2,2,461,0,0,0,2010,4,167500,50,50,2532,1.0,132.51582278481013
7917,6,7,1976,1976,1143,1113,0,1113,1,1,3,6,1,1,504,370,30,0,2007,5,148000,31,31,2256,1.5,132.973944294699
9906,4,4,1925,1950,686,810,518,1328,1,0,3,8,0,1,210,0,172,0,2006,9,107000,81,56,2014,1.0,80.57228915662651
7875,7,5,2003,2003,783,807,702,1509,2,1,3,8,1,2,393,0,75,0,2006,7,180000,3,3,2292,2.5,119.28429423459245
6342,5,8,1875,1996,780,780,240,1020,1,0,2,6,0,0,0,0,0,0,2010,5,94000,135,14,1800,1.0,92.15686274509804
2117,6,5,2000,2000,756,769,756,1525,2,1,3,5,1,2,440,0,0,0,2007,6,177000,7,7,2281,2.5,116.06557377049181
6240,4,5,1947,1950,0,672,240,912,1,0,2,3,0,0,0,0,0,0,2006,7,80500,59,56,912,1.0,88.26754385964912
8521,5,5,1967,1967,912,912,0,912,1,0,3,5,1,1,336,0,0,0,2010,5,125000,43,43,1824,1.0,137.06140350877192
8546,4,5,2003,2004,1121,1121,0,1121,2,0,2,5,0,2,440,132,64,0,2010,3,140000,7,6,2242,2.0,124.88849241748439
10800,4,7,1900,2000,0,694,600,1294,2,0,3,7,0,0,0,220,114,0,2008,8,106250,108,8,1294,2.0,82.1097372488408
8125,6,5,1994,1995,702,702,779,1481,2,1,3,6,1,2,343,0,36,0,2009,3,174000,15,14,2183,2.5,117.4881836596894
6768,6,8,1961,1996,912,912,0,912,1,0,3,5,0,1,288,168,0,0,2008,5,142000,47,12,1824,1.0,155.7017543859649
8834,9,5,2004,2005,1462,1462,762,2224,2,1,4,10,1,3,738,184,0,0,2009,6,350000,5,4,3686,2.5,157.37410071942446
1680,5,5,1971,1971,630,630,672,1302,2,1,3,6,0,1,280,0,0,0,2009,5,112000,38,38,1932,2.5,86.02150537634408
10420,6,5,2009,2009,1212,1212,0,1212,2,0,3,6,0,2,460,100,22,0,2010,3,186000,1,1,2424,2.0,153.46534653465346
7449,7,7,1930,1950,637,1108,0,1108,1,0,3,6,1,1,280,0,0,0,2007,6,139400,77,57,1745,1.0,125.81227436823104
11146,8,5,2006,2006,1709,1717,0,1717,2,0,3,7,1,3,908,169,39,0,2009,7,255500,3,3,3426,2.0,148.80605707629587
10159,9,5,2009,2010,1930,1940,0,1940,2,1,3,8,1,3,606,168,95,0,2010,4,395192,1,0,3870,2.5,203.70721649484537
8385,5,8,1977,1977,985,985,0,985,2,0,3,6,0,1,328,210,0,0,2008,11,149900,31,31,1970,2.0,152.18274111675126
10659,5,6,1961,1961,1050,1050,0,1050,1,0,3,6,0,1,368,0,319,0,2006,1,136500,45,45,2100,1.0,130.0
11764,8,7,1999,2007,1152,1164,1106,2270,2,1,4,9,1,3,671,132,57,0,2010,4,290000,11,3,3422,2.5,127.7533039647577
8877,4,5,1951,1951,836,1220,0,1220,1,0,2,6,0,2,396,0,0,0,2006,4,102000,55,55,2056,1.0,83.60655737704919
11782,5,7,1961,1995,1109,1155,0,1155,1,0,3,6,0,2,576,192,0,0,2010,6,148000,49,15,2264,1.0,128.13852813852813
2572,7,5,1999,1999,696,696,720,1416,2,1,3,6,0,2,484,0,44,0,2010,5,155000,11,11,2112,2.5,109.46327683615819
7200,5,5,1972,1972,894,894,0,894,1,0,2,6,0,2,600,215,0,0,2009,9,123000,37,37,1788,1.0,137.58389261744966
8500,5,3,1961,1961,1235,1235,0,1235,1,0,2,6,0,2,480,0,0,0,2006,12,98600,45,45,2470,1.0,79.83805668016194
8816,6,7,1971,1971,1010,1052,0,1052,1,0,3,6,0,2,440,0,0,0,2010,6,155000,39,39,2062,1.0,147.3384030418251
8724,5,5,1968,1968,894,894,0,894,1,0,3,5,1,2,450,0,0,0,2007,5,129000,39,39,1788,1.0,144.29530201342283
4270,3,6,1931,2006,544,774,0,774,1,0,3,6,0,0,0,0,0,0,2007,5,79000,76,1,1318,1.0,102.0671834625323
29959,7,6,1994,1994,973,979,871,1850,2,1,3,7,1,2,467,168,98,0,2009,1,248000,15,15,2823,2.5,134.05405405405406
8712,5,7,1957,2000,992,1306,0,1306,1,0,2,5,0,1,756,0,0,0,2009,5,153000,52,9,2298,1.0,117.15160796324655
9600,7,6,1973,1973,1242,1242,0,1242,1,1,3,6,1,2,528,0,0,0,2007,9,175500,34,34,2484,1.5,141.30434782608697
9991,4,4,1976,1993,1281,1620,0,1620,2,0,3,8,1,2,490,120,78,0,2009,6,150000,33,16,2901,2.0,92.5925925925926
215245,7,5,1965,1965,2136,2036,0,2036,2,0,3,8,2,2,513,0,0,0,2009,6,375000,44,44,4172,2.0,184.18467583497053
9125,7,5,1992,1992,384,812,670,1482,2,1,3,7,1,2,392,100,25,0,2007,7,163900,15,15,1866,2.5,110.59379217273954
6000,6,6,1925,1980,1103,1103,0,1103,1,0,2,5,1,2,440,166,120,0,2006,7,110500,81,26,2206,1.0,100.18132366273798
10142,7,5,2004,2004,956,956,1128,2084,2,1,4,8,0,2,618,0,45,0,2010,1,233000,6,6,3040,2.5,111.8042226487524
8064,5,7,1949,2006,672,672,252,924,1,0,3,6,1,2,576,0,0,0,2007,7,122900,58,1,1596,1.0,133.00865800865802
10120,8,5,1994,1994,1165,1203,1323,2526,2,1,4,8,1,3,844,309,78,0,2006,12,290000,12,12,3691,2.5,114.80601741884402
11924,9,5,2005,2006,1175,1182,1142,2324,3,0,4,11,2,3,736,147,21,0,2006,7,345000,1,0,3499,3.0,148.4509466437177
40094,10,5,2007,2008,3138,3138,1538,4676,3,1,3,11,1,3,884,208,406,0,2007,10,184750,0,-1,7814,3.5,39.51026518391788
9750,6,6,1958,1958,1442,1442,0,1442,1,1,4,7,0,1,301,0,0,0,2007,4,157900,49,49,2884,1.5,109.500693481276
16560,6,8,1932,1950,952,1170,1175,2345,2,1,4,9,1,2,360,0,0,0,2006,7,239000,74,56,3297,2.5,101.91897654584221
17217,5,5,2006,2006,1140,1140,0,1140,1,0,3,6,0,0,0,36,56,0,2006,7,84500,0,0,2280,1.0,74.12280701754386
9790,6,5,1967,1967,1372,1342,0,1342,2,0,3,7,1,2,457,0,0,0,2009,9,161500,42,42,2714,2.0,120.34277198211625
9100,7,5,2000,2000,1525,1525,0,1525,2,0,3,6,0,2,541,219,36,0,2006,9,235000,6,6,3050,2.0,154.0983606557377
17755,5,4,1959,1959,1466,1466,0,1466,1,1,3,6,2,2,528,0,140,0,2006,11,149900,47,47,2932,1.5,102.25102319236017
11700,6,6,1968,1968,708,708,708,1416,2,1,3,7,1,2,776,0,169,0,2006,5,179900,38,38,2124,2.5,127.04802259887006
11029,6,8,1958,2002,1184,1414,0,1414,1,0,3,6,1,2,601,0,51,0,2008,5,176500,50,6,2598,1.0,124.82319660537482
159000,6,7,1958,2006,1444,1444,700,2144,2,0,4,7,2,2,389,0,98,0,2007,6,277000,49,1,3588,2.0,129.19776119402985
13125,7,6,1940,1984,800,960,780,1740,1,1,3,6,2,1,240,0,0,0,2007,7,219500,67,23,2540,1.5,126.14942528735632
9650,6,5,1977,1977,1350,1334,0,1334,2,0,2,6,1,2,630,0,16,0,2009,4,167900,32,32,2684,2.0,125.86206896551724
13695,5,5,2004,2004,1114,1114,0,1114,1,1,3,6,0,2,576,0,102,0,2008,6,159000,4,4,2228,1.5,142.72890484739676
13159,7,5,2009,2009,846,846,846,1692,2,1,3,6,0,2,650,208,114,0,2009,7,224500,0,0,2538,2.5,132.68321513002365
8978,5,5,1968,1968,948,948,0,948,1,0,3,6,0,1,300,147,0,0,2007,5,108000,39,39,1896,1.0,113.92405063291139
9800,5,7,1972,1972,894,894,0,894,1,0,3,5,0,2,552,256,0,0,2006,7,149900,34,34,1788,1.0,167.67337807606265
12150,5,5,1954,1954,1050,1050,745,1795,2,0,4,7,0,1,352,0,0,0,2008,11,131500,54,54,2845,2.0,73.25905292479109
3180,7,5,2005,2005,600,520,600,1200,2,1,2,4,0,2,480,0,166,0,2006,4,144152,1,1,1720,2.5,120.12666666666667
10530,6,5,1977,1977,975,1004,0,1004,1,0,2,4,0,2,504,0,0,0,2006,5,135000,29,29,1979,1.0,134.4621513944223
9000,7,9,1920,1988,650,832,650,1482,1,0,3,7,0,2,324,0,0,0,2009,7,143000,89,21,2132,1.0,96.49122807017544
6240,6,6,1931,1950,884,959,408,1367,1,0,3,6,1,1,560,0,0,0,2007,11,127500,76,57,2251,1.0,93.26993416239941
9786,6,7,1962,1981,912,1085,649,1734,1,1,3,7,1,2,440,0,0,0,2006,6,159000,44,25,2646,1.5,91.6955017301038
6435,6,5,1939,1950,972,972,605,1577,1,0,3,6,1,1,312,0,0,0,2006,10,140200,67,56,2549,1.0,88.90298034242232
7207,5,7,1958,2008,858,858,0,858,1,0,2,4,0,0,0,117,0,0,2010,2,116500,52,2,1716,1.0,135.78088578088577
12376,7,5,1990,1990,1673,1699,1523,3222,3,0,5,11,2,3,594,367,0,0,2010,5,320000,20,20,4895,3.0,99.31719428926132
10140,5,6,1975,1975,1056,1074,0,1074,1,1,3,6,0,2,495,0,88,0,2006,7,153500,31,31,2130,1.5,142.92364990689012
8963,8,9,1976,1996,1142,1175,1540,2715,3,1,4,11,2,2,831,0,204,0,2008,7,299800,32,12,3857,3.5,110.42357274401473
9873,4,5,1970,1970,960,960,0,960,1,0,3,6,0,2,576,0,288,0,2006,5,129000,36,36,1920,1.0,134.375
12090,6,7,1984,2003,585,1140,728,1868,3,1,3,7,1,2,477,268,112,0,2007,1,178000,23,4,2453,3.5,95.28907922912205
10475,8,5,2008,2008,1694,1694,0,1694,2,0,3,7,0,3,776,160,33,0,2010,2,245350,2,2,3388,2.0,144.83471074380165
5000,5,4,1900,1950,540,889,551,1440,1,0,3,6,0,1,352,0,0,0,2006,4,79000,106,56,1980,1.0,54.861111111111114
25419,8,4,1918,1990,1360,1360,1360,3112,2,0,4,8,1,2,795,0,16,512,2006,3,235000,88,16,4080,2.0,75.51413881748071
10192,7,6,1968,1992,570,1222,698,1920,3,0,4,8,1,2,487,0,98,0,2006,9,170000,38,14,2490,3.0,88.54166666666667
11988,6,6,1957,1957,1244,1244,0,1244,1,1,3,6,2,1,336,0,40,0,2007,5,150000,50,50,2488,1.5,120.57877813504822
11065,8,5,2006,2006,1085,1120,850,1970,2,1,3,8,1,3,753,177,74,0,2006,10,281000,0,0,3055,2.5,142.63959390862945
6000,6,9,1937,2000,698,786,390,1176,1,0,2,4,0,2,624,210,0,0,2009,7,134900,72,9,1874,1.0,114.71088435374149
13518,9,5,2008,2009,1926,1966,1174,3140,3,1,4,11,2,3,820,144,78,0,2009,7,485000,1,0,5066,3.5,154.45859872611464
9042,7,9,1941,2006,1152,1188,1152,2340,2,0,4,9,2,1,252,0,60,0,2010,5,266500,69,4,3492,2.0,113.88888888888889
